Date,Open,High,Low,Close,Adj Close,Volume
2007-08-27,3519.949951,3713.050049,3519.949951,3711.550049,3711.550049,14542400
2007-09-03,3730.600098,3814.000000,3713.100098,3782.750000,3782.750000,16307000
2007-09-10,3744.800049,3864.199951,3744.800049,3800.850098,3800.850098,15943300
2007-09-17,3816.149902,4045.100098,3778.550049,4036.500000,4036.500000,20121100
2007-09-24,4073.449951,4202.950195,4045.000000,4188.549805,4188.549805,31837700
2007-10-01,4206.700195,4375.399902,4179.399902,4301.750000,4301.750000,20436100
2007-10-08,4335.549805,4542.799805,4129.750000,4451.399902,4451.399902,22694200
2007-10-15,4478.549805,4669.399902,4170.549805,4250.450195,4250.450195,23909500
2007-10-22,4159.250000,4657.100098,4159.250000,4650.200195,4650.200195,20871500
2007-10-29,4705.350098,4891.899902,4667.500000,4810.500000,4810.500000,26185500
2007-11-05,4800.750000,4871.549805,4637.100098,4673.750000,4673.750000,23150200
2007-11-12,4570.899902,4978.850098,4522.149902,4939.100098,4939.100098,29962600
2007-11-19,4977.600098,5020.000000,4512.200195,4705.049805,4705.049805,24557700
2007-11-26,4793.100098,4878.299805,4732.350098,4869.549805,4869.549805,21071600
2007-12-03,4895.850098,5151.899902,4895.850098,5095.649902,5095.649902,27446900
2007-12-10,5118.600098,5290.649902,5078.700195,5224.000000,5224.000000,23813100
2007-12-17,5217.100098,5217.100098,4910.899902,4971.049805,4971.049805,17239500
2007-12-24,5042.200195,5288.299805,5042.200195,5284.200195,5284.200195,17626200
2007-12-31,5337.799805,5527.799805,5326.200195,5502.600098,5502.600098,27069400
2008-01-07,5443.049805,5563.500000,5252.250000,5348.200195,5348.200195,24293700
2008-01-14,5365.000000,5427.149902,4908.500000,4925.850098,4925.850098,20990500
2008-01-21,4834.000000,4834.000000,3744.449951,4567.200195,4567.200195,24015800
2008-01-28,4404.799805,4595.799805,4286.850098,4450.049805,4450.049805,17925000
2008-02-04,4555.950195,4639.950195,4243.899902,4313.950195,4313.950195,19395400
2008-02-11,4295.299805,4441.149902,4044.750000,4432.600098,4432.600098,18085600
2008-02-18,4462.700195,4499.600098,4283.649902,4295.350098,4295.350098,16130500
2008-02-25,4332.250000,4485.549805,4240.850098,4360.700195,4360.700195,16445100
2008-03-03,4236.549805,4262.250000,3845.649902,3922.500000,3922.500000,13942200
2008-03-10,3838.449951,4152.649902,3758.800049,3868.649902,3868.649902,19573900
2008-03-17,3754.800049,3785.050049,3613.649902,3657.800049,3657.800049,11805800
2008-03-24,3681.300049,3986.750000,3603.449951,3971.149902,3971.149902,19187000
2008-03-31,3953.350098,3953.350098,3738.399902,3747.949951,3747.949951,14352500
2008-04-07,3777.550049,3888.100098,3739.149902,3861.699951,3861.699951,15197900
2008-04-14,3841.850098,4038.949951,3813.449951,4027.899902,4027.899902,12502400
2008-04-21,4069.300049,4166.200195,4069.300049,4162.549805,4162.549805,21174600
2008-04-28,4185.200195,4291.200195,4150.100098,4280.399902,4280.399902,16914700
2008-05-05,4298.299805,4315.950195,4052.649902,4064.100098,4064.100098,18421100
2008-05-12,4038.949951,4204.899902,3992.899902,4198.100098,4198.100098,17923900
2008-05-19,4170.500000,4189.200195,4034.199951,4037.350098,4037.350098,14863500
2008-05-26,3987.449951,4021.500000,3917.250000,3959.649902,3959.649902,18138300
2008-06-02,3987.850098,3987.850098,3669.199951,3730.500000,3730.500000,17113500
2008-06-09,3661.699951,3661.699951,3516.850098,3634.800049,3634.800049,18157700
2008-06-16,3677.800049,3781.149902,3498.750000,3510.949951,3510.949951,16593700
2008-06-23,3471.800049,3486.449951,3284.199951,3293.649902,3293.649902,19080400
2008-06-30,3296.850098,3310.500000,3017.199951,3178.149902,3178.149902,21651100
2008-07-07,3216.600098,3346.899902,3108.050049,3232.199951,3232.199951,18136200
2008-07-14,3206.949951,3281.350098,3029.899902,3248.050049,3248.050049,17150800
2008-07-21,3265.149902,3607.350098,3234.550049,3452.449951,3452.449951,23234300
2008-07-28,3460.699951,3529.600098,3334.449951,3524.250000,3524.250000,21172900
2008-08-04,3512.250000,3702.449951,3504.250000,3635.000000,3635.000000,23923000
2008-08-11,3691.600098,3721.300049,3545.500000,3551.300049,3551.300049,15151000
2008-08-18,3525.899902,3561.500000,3407.250000,3459.750000,3459.750000,14524900
2008-08-25,3513.699951,3514.050049,3370.250000,3489.050049,3489.050049,14716600
2008-09-01,3455.199951,3610.149902,3435.500000,3489.350098,3489.350098,12437000
2008-09-08,3613.300049,3619.800049,3360.649902,3377.899902,3377.899902,14694100
2008-09-15,3274.850098,3323.199951,3007.600098,3314.350098,3314.350098,20423700
2008-09-22,3343.449951,3343.449951,3112.800049,3123.750000,3123.750000,18884000
2008-09-29,3115.000000,3119.100098,2914.600098,2984.300049,2984.300049,17043600
2008-10-06,2941.399902,2941.399902,2460.449951,2507.550049,2507.550049,18921200
2008-10-13,2559.550049,2778.000000,2371.800049,2386.449951,2386.449951,21945000
2008-10-20,2422.000000,2504.199951,2002.750000,2035.250000,2035.250000,23270000
2008-10-27,2013.300049,2242.949951,1796.900024,2225.699951,2225.699951,23131100
2008-11-03,2318.800049,2490.350098,2228.750000,2312.250000,2312.250000,27292800
2008-11-10,2351.000000,2445.500000,2188.399902,2203.550049,2203.550049,18693200
2008-11-17,2217.300049,2217.300049,1955.300049,2067.199951,2067.199951,22267700
2008-11-24,2056.399902,2125.850098,2025.199951,2093.100098,2093.100098,18023500
2008-12-01,2099.500000,2159.649902,1971.349976,2083.100098,2083.100098,24521700
2008-12-08,2087.199951,2240.350098,2087.199951,2230.250000,2230.250000,19571600
2008-12-15,2269.000000,2388.050049,2247.000000,2370.350098,2370.350098,34747600
2008-12-22,2370.000000,2395.699951,2204.500000,2212.500000,2212.500000,22164400
2008-12-29,2212.100098,2405.300049,2180.949951,2380.399902,2380.399902,28151000
2009-01-05,2410.399902,2456.300049,2176.949951,2225.449951,2225.449951,33852400
2009-01-12,2205.449951,2211.500000,2112.899902,2189.449951,2189.449951,24477400
2009-01-19,2190.199951,2218.449951,2061.149902,2072.850098,2072.850098,22001700
2009-01-26,2072.850098,2212.699951,2072.850098,2209.050049,2209.050049,20344300
2009-02-02,2185.449951,2192.399902,2122.550049,2180.699951,2180.699951,24961900
2009-02-09,2192.550049,2278.000000,2185.350098,2264.300049,2264.300049,23098500
2009-02-16,2257.649902,2259.199951,2088.399902,2106.100098,2106.100098,19541400
2009-02-23,2106.100098,2133.750000,2059.449951,2112.850098,2112.850098,16191900
2009-03-02,2070.050049,2078.350098,1953.300049,2002.400024,2002.400024,20354800
2009-03-09,1993.650024,2068.149902,1956.849976,2064.600098,2064.600098,12009100
2009-03-16,2073.699951,2161.300049,2058.949951,2139.699951,2139.699951,26692200
2009-03-23,2169.850098,2350.300049,2169.399902,2343.699951,2343.699951,34966600
2009-03-30,2299.500000,2441.449951,2248.800049,2429.050049,2429.050049,28562800
2009-04-06,2486.750000,2578.699951,2398.149902,2545.949951,2545.949951,28292800
2009-04-13,2564.250000,2727.750000,2550.949951,2612.600098,2612.600098,42127600
2009-04-20,2628.350098,2696.100098,2563.500000,2689.949951,2689.949951,40587000
2009-04-27,2671.149902,2716.800049,2581.699951,2662.949951,2662.949951,24111100
2009-05-04,2707.449951,2853.500000,2707.449951,2795.949951,2795.949951,43096000
2009-05-11,2822.649902,2851.750000,2729.649902,2833.649902,2833.649902,36527400
2009-05-18,3197.949951,3433.350098,3166.000000,3355.050049,3355.050049,55946700
2009-05-25,3379.000000,3612.300049,3288.000000,3579.899902,3579.899902,50657500
2009-06-01,3649.850098,3762.350098,3586.449951,3710.500000,3710.500000,59475000
2009-06-08,3728.500000,3766.899902,3500.149902,3664.899902,3664.899902,49798600
2009-06-15,3639.100098,3677.750000,3378.149902,3458.850098,3458.850098,44737800
2009-06-22,3474.449951,3525.850098,3342.649902,3521.850098,3521.850098,38595500
2009-06-29,3534.750000,3586.500000,3426.699951,3568.050049,3568.050049,34607500
2009-07-06,3583.899902,3614.350098,3228.949951,3244.899902,3244.899902,36990100
2009-07-13,3202.800049,3553.149902,3166.149902,3542.199951,3542.199951,33237600
2009-07-20,3591.350098,3693.750000,3550.649902,3689.649902,3689.649902,37195900
2009-07-27,3694.850098,3799.649902,3611.250000,3764.100098,3764.100098,41242500
2009-08-03,3778.050049,3855.350098,3652.199951,3663.600098,3663.600098,35701200
2009-08-10,3685.250000,3779.449951,3567.899902,3749.600098,3749.600098,32497300
2009-08-17,3713.350098,3713.350098,3589.350098,3701.050049,3701.050049,28151300
2009-08-24,3748.750000,3871.250000,3744.199951,3864.399902,3864.399902,35522400
2009-08-31,3819.050049,3892.800049,3774.750000,3837.800049,3837.800049,32864400
2009-09-07,3875.600098,3979.850098,3873.649902,3914.050049,3914.050049,33702600
2009-09-14,3900.649902,4054.000000,3881.149902,4045.250000,4045.250000,34283400
2009-09-21,4058.600098,4080.199951,3984.199951,4041.350098,4041.350098,26422300
2009-09-28,4078.300049,4133.200195,4064.899902,4119.049805,4119.049805,17475600
2009-10-05,4084.399902,4096.750000,3971.949951,4029.550049,4029.550049,31458900
2009-10-12,4045.800049,4198.200195,4045.800049,4194.950195,4194.950195,25017600
2009-10-19,4231.549805,4239.950195,4075.500000,4104.750000,4104.750000,24020700
2009-10-26,4114.299805,4119.100098,3844.399902,3853.149902,3853.149902,36100600
